,File Name,Zero Order,First Order,Higuchi,Korsmeyer-Peppas,Weibull,Reciprocal
0,data/drug_release/100..csv,64.495,37.518,42.01,43.952,32.727,21.066
1,data/drug_release/101..csv,91.958,26.185,69.329,-74.571,20.869,16.673
2,data/drug_release/102..csv,86.31,27.205,65.782,-52.136,6.011,10.585
3,data/drug_release/103..csv,77.983,11.22,84.77,-25.452,11.902,-11.536
4,data/drug_release/104..csv,182.216,71.823,151.845,103.165,60.655,51.533
5,data/drug_release/105..csv,130.69,51.725,26.861,27.731,27.634,21.579
6,data/drug_release/106..csv,18.87,14.12,22.375,16.4,16.823,11.044
7,data/drug_release/107..csv,28.223,13.076,25.528,4.664,16.959,11.193
8,data/drug_release/108..csv,33.846,25.723,33.686,26.358,9.965,17.402
9,data/drug_release/109..csv,2.307,29.545,36.852,1.976,20.07,0.014
10,data/drug_release/110..csv,26.989,13.501,26.368,3.717,17.397,10.517
11,data/drug_release/111..csv,29.185,18.501,17.744,7.379,9.249,9.199
12,data/drug_release/112..csv,92.264,29.569,70.444,-63.641,27.641,21.753
13,data/drug_release/113..csv,97.687,57.112,42.713,-25.548,14.931,30.404
14,data/drug_release/114..csv,90.336,27.482,62.805,-14.575,-22.394,-7.37
15,data/drug_release/115..csv,83.913,17.521,81.814,-35.739,21.173,2.455
16,data/drug_release/116..csv,86.082,19.45,78.99,-50.135,23.398,8.064
17,data/drug_release/117..csv,93.957,29.999,66.143,-43.198,18.164,17.618
18,data/drug_release/118..csv,105.167,34.632,61.867,20.426,7.184,5.905
19,data/drug_release/119..csv,128.192,80.746,28.065,26.969,3.894,28.404
20,data/drug_release/120..csv,136.85,85.95,55.17,44.737,13.957,32.437
21,data/drug_release/121..csv,92.929,19.364,72.094,-19.515,14.185,8.286
22,data/drug_release/122..csv,4.425,2.829,19.35,5.904,6.669,2.851
23,data/drug_release/123..csv,18.656,10.251,22.116,9.266,10.679,6.917
24,data/drug_release/124..csv,27.435,11.493,27.492,9.578,15.445,9.042
25,data/drug_release/125..csv,39.968,15.086,18.822,18.911,16.006,9.389
26,data/drug_release/126..csv,-19.199,-24.817,2.816,-45.751,-45.008,-49.365
27,data/drug_release/127..csv,52.733,46.829,19.534,13.661,18.888,29.998
28,data/drug_release/131..csv,52.144,47.092,22.014,14.878,19.604,30.232
29,data/drug_release/132..csv,65.497,60.436,47.18,10.567,8.785,23.513
30,data/drug_release/133..csv,78.069,63.999,63.512,25.819,24.194,29.882
31,data/drug_release/134..csv,47.841,36.074,36.649,32.879,28.842,17.517
32,data/drug_release/135..csv,54.374,21.817,46.126,39.369,23.123,10.716
33,data/drug_release/136..csv,47.102,32.363,34.161,29.295,20.938,11.097
34,data/drug_release/137..csv,56.668,17.944,49.827,44.644,12.123,26.987
35,data/drug_release/138..csv,42.642,33.498,26.307,12.99,18.158,21.132
36,data/drug_release/139..csv,56.307,13.646,49.279,43.632,14.032,22.805
37,data/drug_release/140..csv,50.948,31.854,40.889,34.455,25.666,14.271
38,data/drug_release/141..csv,56.663,-0.469,49.811,3.595,-6.509,-8.749
39,data/drug_release/173..csv,63.195,47.133,49.633,36.897,28.245,16.308
40,data/drug_release/174..csv,55.848,52.109,43.513,32.512,31.946,6.507
41,data/drug_release/175..csv,199.767,167.329,167.035,114.743,103.209,-9.341
42,data/drug_release/176..csv,200.059,130.868,160.098,104.173,63.533,-13.233
43,data/drug_release/177..csv,45.813,41.806,-35.139,-50.16,-49.82,-76.959
44,data/drug_release/178..csv,28.757,26.949,-31.811,-97.837,-97.071,-86.547
45,data/drug_release/179..csv,63.79,57.871,-19.741,-25.834,-25.619,-36.582
46,data/drug_release/183..csv,80.107,56.617,45.228,-8.104,-20.943,-1.432
47,data/drug_release/184..csv,170.133,104.44,136.132,74.779,13.389,34.501
48,data/drug_release/185..csv,190.983,124.034,165.097,92.143,54.01,50.459
49,data/drug_release/189..csv,166.342,90.259,129.191,90.771,51.585,18.135
50,data/drug_release/190..csv,187.502,70.887,162.685,119.044,62.443,52.446
51,data/drug_release/191..csv,199.43,60.312,176.511,126.298,61.992,50.649
52,data/drug_release/197..csv,74.685,70.705,9.344,-35.989,-36.86,-72.965
53,data/drug_release/198..csv,208.546,185.427,179.185,132.512,129.886,85.705
54,data/drug_release/199..csv,222.485,162.603,195.024,146.865,138.337,85.518
55,data/drug_release/200..csv,223.614,159.684,196.48,149.706,142.58,102.986
56,data/drug_release/203..csv,124.35,55.897,110.724,88.288,59.718,59.357
57,data/drug_release/205..csv,103.828,79.829,85.94,62.591,56.422,42.166
58,data/drug_release/206..csv,80.577,68.264,62.086,33.299,24.336,24.128
